,TP53 (M),RB1 (M),RB1/13q (Del),STK11 (M),KEAP1 (M),EGFR/7p (Amp)
TP53 (M),-0.16,0.89,-0.0,-2.18,-0.06,-0.01
RB1 (M),0.0,-3.14,0.05,-1.41,-0.91,0.3
RB1/13q (Del),-0.48,-0.0,-0.86,-1.46,-1.28,-0.07
STK11 (M),-0.75,-1.23,-0.2,-1.24,-0.0,-1.01
KEAP1 (M),-0.96,-0.0,-0.12,2.15,-2.2,-0.83
EGFR/7p (Amp),-0.13,-0.0,-0.24,-1.78,-1.58,-0.55
