,TP53 (M),RB1 (M),RB1/13q (Del),STK11 (M),KEAP1 (M),FAT1 (M)
TP53 (M),-0.16,0.97,-0.0,-2.03,-0.15,-0.0
RB1 (M),0.0,-3.03,0.07,-1.36,-1.08,0.0
RB1/13q (Del),-0.49,-0.0,-0.87,-1.42,-1.44,-0.08
STK11 (M),-0.97,-1.43,-0.3,-1.36,-0.0,-0.15
KEAP1 (M),-1.04,-0.0,-0.17,2.22,-2.35,0.16
FAT1 (M),-0.05,0.27,-0.55,-0.02,0.01,-2.97
