,TP53 (M),RB1 (M),RB1/13q (Del),STK11 (M),KEAP1 (M),EPHA7/6q (Del)
TP53 (M),-0.12,1.01,0.0,-1.42,0.02,-0.33
RB1 (M),0.0,-2.93,0.26,-1.23,-0.7,-0.91
RB1/13q (Del),-0.34,-0.0,-1.15,-1.14,-1.06,0.82
STK11 (M),-1.39,-1.42,-0.41,-1.24,-0.0,-0.15
KEAP1 (M),-1.59,-0.0,-0.3,2.2,-2.24,-0.0
EPHA7/6q (Del),-2.54,-0.0,-0.55,-0.49,-0.71,-0.41
