,T0,T1,T2,A_1
T0,-0.68,-0.7,0.42,-0.22
T1,-0.32,-1.95,-0.0,-0.17
T2,-0.02,1.07,-2.12,-0.85
A_1,-0.0,-0.99,0.0,-2.16
