,T0,T1,T2,B_1
T0,-0.68,-0.92,0.37,-0.0
T1,-0.17,-2.0,0.0,0.0
T2,0.0,1.03,-2.18,0.0
B_1,-0.08,0.01,-0.17,-0.01
