,T0,T1,T2,E_3
T0,-0.77,-0.78,0.23,0.85
T1,-0.29,-1.97,-0.0,-0.0
T2,-0.0,1.02,-2.24,0.38
E_3,0.0,-0.39,0.0,-1.69
