,T0,T1,T2,C_0
T0,-0.6,-0.87,0.15,-0.63
T1,-0.13,-2.02,-0.0,0.0
T2,0.27,1.0,-2.26,0.0
C_0,-0.36,-0.0,0.04,-1.58
