,ERBB2 (M),SETD2 (M),KMT2A (M),KMT2C (M),TP53/17p (Del)
ERBB2 (M),-2.7,-0.0,0.0,-0.11,-1.67
SETD2 (M),-0.03,-3.1,0.96,0.18,-1.77
KMT2A (M),0.0,0.0,-2.82,0.91,-2.15
KMT2C (M),-0.0,0.0,0.0,-2.56,-1.76
TP53/17p (Del),-1.6,-1.45,-2.03,-1.52,-0.21
