,ERBB2 (M),SETD2 (M),KMT2A (M),KMT2C (M),KDM5A (M)
ERBB2 (M),-3.12,-0.0,0.01,-0.0,0.0
SETD2 (M),-0.0,-3.56,1.27,0.5,0.0
KMT2A (M),0.05,0.0,-3.31,1.28,0.0
KMT2C (M),0.0,0.0,0.0,-2.98,0.01
KDM5A (M),1.42,0.68,1.57,0.0,-3.86
