,ERBB2 (M),SETD2 (M),KMT2A (M),KMT2C (M),SMARCA4 (M)
ERBB2 (M),-3.12,-0.0,0.09,-0.0,0.0
SETD2 (M),-0.0,-3.43,0.0,0.0,0.0
KMT2A (M),0.0,1.29,-3.39,1.11,0.43
KMT2C (M),-0.0,0.71,0.0,-3.01,0.0
SMARCA4 (M),0.36,0.0,0.0,1.42,-3.28
