,ERBB2 (M),SETD2 (M),KMT2A (M),KMT2C (M),SOX9 (M)
ERBB2 (M),-3.11,-0.0,0.0,-0.0,-0.02
SETD2 (M),0.0,-3.4,0.0,0.0,-0.31
KMT2A (M),0.23,1.45,-3.3,0.0,-0.01
KMT2C (M),-0.0,0.54,1.21,-3.06,-0.18
SOX9 (M),-0.26,-0.51,-0.65,-0.0,-1.96
