,ERBB2 (M),SETD2 (M),KMT2A (M),KMT2C (M),PTPRT (M)
ERBB2 (M),-3.09,-0.0,0.0,-0.0,-0.81
SETD2 (M),-0.0,-3.57,1.23,0.38,0.46
KMT2A (M),0.25,0.0,-3.37,1.15,0.89
KMT2C (M),0.0,0.0,0.0,-3.02,0.63
PTPRT (M),-0.68,0.0,0.0,0.0,-3.02
