,ERBB2 (M),SETD2 (M),KMT2A (M),KMT2C (M),RNF43 (M)
ERBB2 (M),-3.12,-0.01,0.0,-0.01,-0.0
SETD2 (M),-0.0,-3.74,0.07,0.0,1.53
KMT2A (M),-0.0,0.0,-3.82,0.0,2.38
KMT2C (M),-0.01,-0.0,0.0,-3.28,1.6
RNF43 (M),0.89,0.0,-0.0,0.0,-2.2
