,ERBB2 (M),SETD2 (M),KMT2A (M),KMT2C (M),CASP8 (M)
ERBB2 (M),-3.12,-0.0,0.01,-0.0,0.0
SETD2 (M),-0.0,-3.59,1.11,0.46,0.83
KMT2A (M),0.04,0.0,-3.31,1.26,0.0
KMT2C (M),-0.0,0.0,0.0,-2.98,0.0
CASP8 (M),0.08,0.0,1.13,1.0,-3.51
