,ERBB2 (M),SETD2 (M),KMT2A (M),KMT2C (M),SPEN (M)
ERBB2 (M),-3.12,-0.0,0.01,-0.0,0.0
SETD2 (M),-0.0,-3.56,1.09,0.0,0.79
KMT2A (M),0.0,0.0,-3.41,0.79,1.64
KMT2C (M),-0.0,0.36,0.01,-2.99,0.0
SPEN (M),0.17,0.0,-0.0,1.74,-3.35
