,ERBB2 (M),SETD2 (M),KMT2A (M),KMT2C (M),null
ERBB2 (M),-3.12,-0.0,0.18,-0.0,0.0
SETD2 (M),-0.0,-3.48,0.0,0.71,0.0
KMT2A (M),0.0,1.26,-3.37,1.2,0.0
KMT2C (M),0.0,0.0,0.0,-2.98,0.0
null,0.0,0.0,0.0,0.0,0.0
