,ERBB2 (M),SETD2 (M),KMT2A (M),KMT2C (M),PIK3R1 (M)
ERBB2 (M),-3.12,-0.0,0.0,-0.0,-0.01
SETD2 (M),-0.0,-3.61,1.29,0.56,0.85
KMT2A (M),0.15,0.0,-3.32,1.3,-0.0
KMT2C (M),0.0,0.0,0.0,-2.98,-0.01
PIK3R1 (M),-0.0,0.0,-0.0,-0.28,-3.15
