,ERBB2 (M),SETD2 (M),KMT2A (M),KMT2C (M),SMAD4 (M)
ERBB2 (M),-3.05,-0.0,0.11,-0.0,-0.89
SETD2 (M),-0.0,-3.42,0.0,0.68,-0.71
KMT2A (M),0.0,1.26,-3.28,1.16,-1.29
KMT2C (M),-0.0,0.0,0.0,-2.89,-1.14
SMAD4 (M),-0.9,-0.86,-1.03,-1.16,-1.86
