,ERBB2 (M),SETD2 (M),KMT2A (M),KMT2C (M),FBXW7 (M)
ERBB2 (M),-3.11,-0.0,0.2,-0.0,-0.08
SETD2 (M),-0.0,-3.48,0.0,0.73,-0.0
KMT2A (M),0.0,1.26,-3.38,1.21,-0.0
KMT2C (M),0.0,0.0,0.0,-2.98,-0.01
FBXW7 (M),-0.22,-0.05,-0.0,-0.28,-1.8
