,ERBB2 (M),SETD2 (M),KMT2A (M),KMT2C (M),RAC1/7p (Amp)
ERBB2 (M),-2.79,-0.0,0.0,-0.0,-1.01
SETD2 (M),-0.0,-3.11,1.14,0.01,-1.49
KMT2A (M),0.02,0.0,-2.75,0.0,-1.71
KMT2C (M),-0.0,0.01,1.01,-2.63,-1.48
RAC1/7p (Amp),-1.25,-1.2,-1.82,-1.09,-0.11
