,ERBB2 (M),SETD2 (M),KMT2A (M),KMT2C (M),PTEN (M)
ERBB2 (M),-3.12,-0.0,0.18,-0.0,0.0
SETD2 (M),-0.0,-3.48,0.0,0.69,-0.0
KMT2A (M),0.0,1.28,-3.39,1.16,0.26
KMT2C (M),0.0,0.0,0.0,-3.02,0.51
PTEN (M),0.0,-0.0,-0.0,0.0,-2.74
