,ERBB2 (M),SETD2 (M),KMT2A (M),KMT2C (M),FBXW7/4q (Del)
ERBB2 (M),-2.95,-0.0,0.0,-0.0,-0.83
SETD2 (M),-0.0,-3.17,0.0,0.0,-1.81
KMT2A (M),0.03,1.2,-3.01,0.0,-1.84
KMT2C (M),-0.0,0.38,1.06,-2.88,-1.0
FBXW7/4q (Del),-0.84,-1.76,-1.59,-0.84,-0.87
