,ERBB2 (M),SETD2 (M),KMT2A (M),KMT2C (M),NCOR1 (M)
ERBB2 (M),-3.12,-0.0,0.01,-0.0,-0.04
SETD2 (M),-0.0,-3.52,0.0,0.36,1.24
KMT2A (M),0.07,1.24,-3.37,1.13,-0.0
KMT2C (M),0.0,0.0,-0.0,-3.05,1.35
NCOR1 (M),-0.12,0.0,1.5,0.0,-3.65
