,ERBB2 (M),SETD2 (M),KMT2A (M),KMT2C (M),ASXL1 (M)
ERBB2 (M),-3.12,-0.0,0.02,-0.0,-0.0
SETD2 (M),-0.0,-3.56,1.3,0.5,-0.0
KMT2A (M),0.0,-0.0,-3.32,1.19,0.39
KMT2C (M),0.0,0.0,0.0,-2.98,0.0
ASXL1 (M),0.99,1.06,-0.0,1.34,-3.46
