,ERBB2 (M),SETD2 (M),KMT2A (M),KMT2C (M),ARID1A (M)
ERBB2 (M),-3.12,-0.0,0.0,-0.0,0.0
SETD2 (M),-0.0,-3.6,0.0,0.28,0.95
KMT2A (M),0.0,0.85,-3.6,0.76,1.44
KMT2C (M),-0.0,0.0,0.0,-3.11,0.85
ARID1A (M),0.34,0.0,0.0,0.0,-2.11
