,ERBB2 (M),SETD2 (M),KMT2A (M),KMT2C (M),ASXL1/20q (Amp)
ERBB2 (M),-2.3,-0.15,-0.01,-0.47,-1.75
SETD2 (M),-0.15,-2.59,0.43,0.0,-2.22
KMT2A (M),-0.01,0.0,-2.24,0.35,-2.97
KMT2C (M),-0.01,0.0,0.0,-2.1,-2.22
ASXL1/20q (Amp),-2.09,-1.66,-2.54,-1.56,0.84
