,ERBB2 (M),SETD2 (M),KMT2A (M),KMT2C (M),CTNNB1 (M)
ERBB2 (M),-3.1,-0.0,0.01,-0.0,-0.28
SETD2 (M),-0.0,-3.57,1.35,0.48,0.14
KMT2A (M),0.11,0.0,-3.3,1.32,-0.31
KMT2C (M),0.0,0.0,0.0,-2.98,-0.0
CTNNB1 (M),-0.26,0.0,-0.08,-0.0,-2.49
