,ERBB2 (M),SETD2 (M),KMT2A (M),KMT2C (M),NF1 (M)
ERBB2 (M),-3.12,-0.0,0.06,-0.0,0.0
SETD2 (M),-0.0,-3.43,0.0,0.0,0.0
KMT2A (M),0.0,1.33,-3.45,1.05,1.17
KMT2C (M),-0.0,0.73,0.0,-3.01,0.0
NF1 (M),0.0,-0.0,0.0,0.84,-3.25
