,ERBB2 (M),SETD2 (M),KMT2A (M),KMT2C (M),BRAF (M)
ERBB2 (M),-3.11,-0.0,0.0,-0.0,-0.02
SETD2 (M),-0.0,-3.56,1.25,0.52,0.0
KMT2A (M),0.13,-0.0,-3.52,1.22,1.06
KMT2C (M),0.0,0.0,0.0,-2.98,-0.01
BRAF (M),-0.14,0.58,-0.0,-0.18,-1.9
