,ERBB2 (M),SETD2 (M),KMT2A (M),KMT2C (M),TGFBR2 (M)
ERBB2 (M),-3.12,-0.0,0.14,-0.0,0.0
SETD2 (M),-0.0,-3.48,0.0,0.7,0.0
KMT2A (M),0.0,1.25,-3.37,1.2,0.0
KMT2C (M),0.0,0.0,0.0,-2.98,0.03
TGFBR2 (M),0.82,0.4,1.41,0.0,-3.18
