,ERBB2 (M),SETD2 (M),KMT2A (M),KMT2C (M),EP300 (M)
ERBB2 (M),-3.12,-0.0,0.11,-0.0,0.0
SETD2 (M),-0.0,-3.61,0.0,0.0,1.78
KMT2A (M),0.0,0.93,-3.42,1.0,1.1
KMT2C (M),-0.0,0.08,0.0,-3.05,1.02
EP300 (M),0.03,0.0,0.0,0.0,-3.1
