,ERBB2 (M),SETD2 (M),KMT2A (M),KMT2C (M),MSH6 (M)
ERBB2 (M),-3.12,-0.0,0.0,-0.0,0.0
SETD2 (M),-0.01,-3.65,0.6,0.0,1.84
KMT2A (M),0.0,0.0,-3.4,-0.06,2.02
KMT2C (M),-0.0,0.01,1.2,-3.06,-0.0
MSH6 (M),0.81,0.0,-0.0,1.57,-3.34
