,ERBB2 (M),SETD2 (M),KMT2A (M),KMT2C (M),BRCA2 (M)
ERBB2 (M),-3.13,-0.0,0.01,-0.0,0.26
SETD2 (M),-0.0,-3.65,0.92,0.69,1.53
KMT2A (M),0.0,0.0,-3.4,1.34,1.32
KMT2C (M),0.0,0.0,0.0,-2.97,-0.2
BRCA2 (M),0.0,0.0,0.0,-0.06,-3.35
