,ERBB2 (M),SETD2 (M),KMT2A (M),KMT2C (M),CREBBP (M)
ERBB2 (M),-3.12,-0.0,0.0,-0.0,0.0
SETD2 (M),-0.0,-3.65,0.89,0.15,1.49
KMT2A (M),0.01,0.0,-3.38,-0.0,1.71
KMT2C (M),-0.0,0.01,1.24,-3.06,-0.0
CREBBP (M),0.36,0.0,-0.0,0.7,-3.03
