,ERBB2 (M),SETD2 (M),KMT2A (M),KMT2C (M),ARID1A/1p (Del)
ERBB2 (M),-2.91,-0.0,0.0,-0.0,-1.14
SETD2 (M),-0.0,-3.19,0.0,0.38,-1.96
KMT2A (M),0.0,1.04,-3.06,0.98,-2.21
KMT2C (M),-0.0,0.0,0.0,-2.72,-1.73
ARID1A/1p (Del),-0.99,-1.88,-1.99,-1.61,-0.85
