,ERBB2 (M),SETD2 (M),KMT2A (M),KMT2C (M),AMER1 (M)
ERBB2 (M),-3.12,-0.0,0.0,-0.0,0.0
SETD2 (M),-0.0,-3.43,0.0,0.0,-0.0
KMT2A (M),0.23,1.4,-3.34,0.0,0.55
KMT2C (M),-0.0,0.53,1.15,-3.08,0.0
AMER1 (M),0.0,-0.0,0.0,0.0,-2.64
