,ERBB2 (M),SETD2 (M),KMT2A (M),KMT2C (M),POLE (M)
ERBB2 (M),-3.12,-0.0,0.2,-0.0,-0.0
SETD2 (M),-0.0,-3.5,-0.0,-0.0,1.39
KMT2A (M),0.0,1.27,-3.37,1.19,0.0
KMT2C (M),-0.0,0.68,0.0,-3.01,-0.0
POLE (M),0.43,-0.0,1.09,1.4,-3.83
