,ERBB2 (M),SETD2 (M),KMT2A (M),KMT2C (M),ATM (M)
ERBB2 (M),-3.11,-0.0,0.01,-0.0,-0.05
SETD2 (M),-0.0,-3.63,1.3,0.46,0.82
KMT2A (M),0.09,0.0,-3.32,1.31,-0.01
KMT2C (M),0.0,0.0,0.0,-2.98,-0.08
ATM (M),-0.09,0.0,-0.26,-0.13,-2.67
