,ERBB2 (M),SETD2 (M),KMT2A (M),KMT2C (M),PTPRS (M)
ERBB2 (M),-3.12,-0.0,0.0,0.0,0.0
SETD2 (M),-0.0,-3.66,0.94,0.0,1.19
KMT2A (M),0.09,0.0,-3.42,-0.0,1.47
KMT2C (M),-0.0,0.12,1.2,-3.06,-0.0
PTPRS (M),0.32,0.0,-0.0,0.97,-2.55
