,ERBB2 (M),SETD2 (M),KMT2A (M),KMT2C (M),B2M/15q (Del)
ERBB2 (M),-2.9,-0.0,0.0,-0.0,-1.35
SETD2 (M),-0.0,-3.34,0.71,0.52,-0.96
KMT2A (M),0.0,0.65,-3.09,1.11,-1.58
KMT2C (M),-0.0,0.0,0.0,-2.75,-1.55
B2M/15q (Del),-1.29,-0.94,-1.45,-1.34,-0.93
