,ERBB2 (M),SETD2 (M),KMT2A (M),KMT2C (M),BCOR (M)
ERBB2 (M),-3.12,-0.0,0.1,-0.0,-0.0
SETD2 (M),-0.0,-3.43,0.0,0.0,0.0
KMT2A (M),0.0,1.25,-3.42,0.96,1.03
KMT2C (M),-0.0,0.64,0.0,-3.06,0.89
BCOR (M),0.0,0.0,0.0,0.0,-3.15
