,ERBB2 (M),SETD2 (M),KMT2A (M),KMT2C (M),PRKD1/14q (Del)
ERBB2 (M),-2.91,-0.0,0.0,-0.0,-1.58
SETD2 (M),-0.0,-3.23,0.0,0.48,-2.23
KMT2A (M),0.0,1.05,-3.13,1.07,-2.0
KMT2C (M),-0.0,0.0,0.0,-2.79,-1.31
PRKD1/14q (Del),-1.49,-2.04,-1.75,-1.22,-1.07
