,ERBB2 (M),SETD2 (M),KMT2A (M),KMT2C (M),ARID1B (M)
ERBB2 (M),-3.12,-0.0,0.0,-0.0,-0.0
SETD2 (M),-0.0,-3.59,1.23,0.47,0.64
KMT2A (M),0.06,0.0,-3.31,1.27,0.0
KMT2C (M),0.0,0.0,0.0,-2.98,0.01
ARID1B (M),0.0,0.0,1.15,0.48,-3.45
