,ERBB2 (M),SETD2 (M),KMT2A (M),KMT2C (M),PTCH1 (M)
ERBB2 (M),-3.12,-0.0,0.0,-0.0,0.0
SETD2 (M),-0.0,-3.43,0.0,0.0,0.0
KMT2A (M),0.0,1.29,-3.43,-0.0,1.91
KMT2C (M),-0.0,0.58,1.07,-3.07,-0.0
PTCH1 (M),1.22,0.0,-0.0,1.63,-3.57
