,ERBB2 (M),SETD2 (M),KMT2A (M),KMT2C (M),FAT1 (M)
ERBB2 (M),-3.12,-0.0,0.0,-0.0,0.0
SETD2 (M),-0.0,-3.53,1.36,0.01,-0.0
KMT2A (M),0.01,-0.0,-3.38,1.1,1.05
KMT2C (M),-0.0,0.41,0.0,-2.99,0.0
FAT1 (M),0.0,0.49,-0.0,1.28,-3.13
