,ERBB2 (M),SETD2 (M),KMT2A (M),KMT2C (M),PIK3CA (M)
ERBB2 (M),-3.05,-0.0,0.32,-0.0,-0.39
SETD2 (M),-0.0,-3.48,0.0,0.72,-0.01
KMT2A (M),0.0,1.28,-3.38,1.2,-0.0
KMT2C (M),0.0,0.0,0.0,-2.98,-0.0
PIK3CA (M),-0.57,-0.01,-0.0,-0.01,-1.2
