,ERBB2 (M),SETD2 (M),KMT2A (M),KMT2C (M),KMT2D (M)
ERBB2 (M),-3.12,-0.0,0.0,-0.0,-0.0
SETD2 (M),-0.0,-3.63,0.0,-0.0,1.3
KMT2A (M),-0.0,0.62,-3.62,0.53,1.81
KMT2C (M),-0.0,0.52,0.0,-3.0,-0.0
KMT2D (M),0.53,-0.0,-0.0,1.75,-2.51
