,ERBB2 (M),SETD2 (M),KMT2A (M),KMT2C (M),SMAD4/18q (Del)
ERBB2 (M),-2.41,-0.24,-0.0,-0.3,-1.63
SETD2 (M),-0.01,-2.63,0.0,0.0,-2.27
KMT2A (M),-0.0,0.57,-2.43,0.47,-2.61
KMT2C (M),-0.02,0.0,0.0,-2.2,-2.09
SMAD4/18q (Del),-1.73,-2.17,-2.14,-2.03,0.66
