,ERBB2 (M),SETD2 (M),KMT2A (M),KMT2C (M),MTOR (M)
ERBB2 (M),-3.12,-0.0,0.0,-0.0,-0.0
SETD2 (M),-0.0,-3.56,1.28,0.5,0.0
KMT2A (M),0.21,0.0,-3.37,1.19,0.88
KMT2C (M),0.0,0.0,0.0,-2.98,0.0
MTOR (M),-0.0,0.01,0.0,0.43,-3.1
