,ERBB2 (M),SETD2 (M),KMT2A (M),KMT2C (M),FLT3/13q (Amp)
ERBB2 (M),-2.58,-0.02,0.0,-0.14,-1.36
SETD2 (M),-0.0,-2.8,0.0,0.01,-1.91
KMT2A (M),0.0,0.85,-2.64,0.67,-2.14
KMT2C (M),-0.0,0.01,0.0,-2.33,-1.96
FLT3/13q (Amp),-1.36,-1.57,-1.82,-1.74,0.36
