,ERBB2 (M),SETD2 (M),KMT2A (M),KMT2C (M),B2M (M)
ERBB2 (M),-3.12,-0.0,0.0,-0.0,0.0
SETD2 (M),-0.0,-3.6,1.0,0.4,0.94
KMT2A (M),0.1,0.0,-3.4,0.96,1.35
KMT2C (M),0.0,0.0,0.0,-2.98,0.0
B2M (M),0.0,0.0,0.0,1.36,-3.16
