,ERBB2 (M),SETD2 (M),KMT2A (M),KMT2C (M),CARD11 (M)
ERBB2 (M),-3.12,-0.0,0.02,-0.0,0.0
SETD2 (M),-0.0,-3.48,0.0,0.69,-0.0
KMT2A (M),0.0,1.29,-3.42,1.13,0.97
KMT2C (M),0.0,0.0,0.0,-2.98,0.0
CARD11 (M),1.33,-0.0,0.0,0.0,-3.44
