,FAT1 (M),APC (M),CTNNB1 (M),AMER1 (M),ASXL1/20q (Amp)
FAT1 (M),-1.68,-0.06,0.0,0.0,-2.4
APC (M),-2.75,1.16,-3.72,-0.0,0.04
CTNNB1 (M),0.01,-0.81,-1.02,-0.69,-3.02
AMER1 (M),0.2,-0.26,-1.97,-1.48,-2.33
ASXL1/20q (Amp),-2.44,-0.86,-0.75,-1.02,1.02
