,FAT1 (M),APC (M),CTNNB1 (M),AMER1 (M),KMT2D (M)
FAT1 (M),-2.32,-0.52,0.5,0.74,-0.0
APC (M),-2.16,1.29,-3.95,0.0,-3.91
CTNNB1 (M),0.0,-1.42,-1.51,-0.29,-0.0
AMER1 (M),0.0,-0.11,-1.68,-2.51,0.97
KMT2D (M),2.27,-0.91,0.0,-0.0,-1.69
