,FAT1 (M),APC (M),CTNNB1 (M),AMER1 (M),ARID1A (M)
FAT1 (M),-2.38,-0.51,0.71,0.89,-0.0
APC (M),-2.43,1.3,-3.43,-0.17,-3.33
CTNNB1 (M),0.0,-1.58,-1.36,-0.0,-1.15
AMER1 (M),-0.0,-0.11,-2.0,-2.5,0.88
ARID1A (M),1.89,-0.74,0.08,-0.99,-1.59
