,FAT1 (M),APC (M),CTNNB1 (M),AMER1 (M),BRAF (M)
FAT1 (M),-2.44,-0.55,0.77,1.08,0.29
APC (M),-1.81,1.53,-3.22,-0.0,-4.01
CTNNB1 (M),0.0,-1.98,-1.04,0.0,-2.65
AMER1 (M),-0.0,-0.27,-1.7,-2.25,-0.0
BRAF (M),-0.0,-1.98,-1.23,-0.82,-0.55
