,FAT1 (M),APC (M),CTNNB1 (M),AMER1 (M),RAC1/7p (Amp)
FAT1 (M),-2.05,-0.38,0.34,0.88,-1.41
APC (M),-2.79,1.18,-3.46,-0.0,-0.09
CTNNB1 (M),0.0,-1.23,-1.23,-0.2,-1.89
AMER1 (M),0.01,-0.64,-2.24,-1.67,-1.38
RAC1/7p (Amp),-1.44,-0.87,-1.25,-0.47,0.29
