,FAT1 (M),APC (M),CTNNB1 (M),AMER1 (M),KRAS (M)
FAT1 (M),-2.09,-0.53,0.0,0.0,-0.3
APC (M),-2.71,1.22,-3.59,-0.06,-0.29
CTNNB1 (M),0.56,-1.45,-1.5,-0.23,-0.14
AMER1 (M),1.04,-0.57,-2.08,-2.15,-0.0
KRAS (M),-2.28,-0.69,-0.26,0.01,0.22
