,FAT1 (M),APC (M),CTNNB1 (M),AMER1 (M),B2M/15q (Del)
FAT1 (M),-2.17,-0.56,0.48,1.02,-0.91
APC (M),-2.56,1.19,-3.68,-0.53,-0.14
CTNNB1 (M),0.0,-1.34,-1.33,-0.23,-1.84
AMER1 (M),0.0,-0.31,-1.84,-2.06,-0.88
B2M/15q (Del),-1.32,-1.12,-0.87,-0.7,-0.23
