,FAT1 (M),APC (M),CTNNB1 (M),AMER1 (M),FBXW7 (M)
FAT1 (M),-2.49,-0.57,0.57,0.97,0.83
APC (M),-2.78,1.28,-3.72,-0.95,-2.38
CTNNB1 (M),0.0,-1.48,-1.47,-0.2,-0.16
AMER1 (M),0.0,-0.03,-1.57,-2.41,-0.09
FBXW7 (M),0.0,-0.17,-0.93,-0.0,-1.56
