,FAT1 (M),APC (M),CTNNB1 (M),AMER1 (M),B2M (M)
FAT1 (M),-2.55,-0.46,0.32,0.57,1.7
APC (M),-2.83,1.22,-3.61,-0.17,-2.8
CTNNB1 (M),-0.0,-1.49,-1.49,-0.12,0.0
AMER1 (M),0.01,-0.44,-1.97,-2.14,0.0
B2M (M),-0.0,-0.85,0.61,1.62,-2.35
