,FAT1 (M),APC (M),CTNNB1 (M),AMER1 (M),NOTCH3 (M)
FAT1 (M),-2.58,-0.34,0.0,-0.0,2.0
APC (M),-2.92,1.22,-3.77,-0.05,-2.72
CTNNB1 (M),0.38,-1.46,-1.53,-0.25,0.0
AMER1 (M),0.91,-0.49,-1.95,-2.19,0.0
NOTCH3 (M),-0.0,-0.97,0.0,0.22,-2.11
