,FAT1 (M),APC (M),CTNNB1 (M),AMER1 (M),CREBBP (M)
FAT1 (M),-2.62,-0.42,0.25,-0.0,2.15
APC (M),-2.98,1.21,-3.6,-0.31,-2.64
CTNNB1 (M),-0.0,-1.49,-1.49,-0.19,0.01
AMER1 (M),0.77,-0.3,-1.75,-2.29,-0.0
CREBBP (M),-0.0,-0.54,0.51,1.05,-2.35
