,FAT1 (M),APC (M),CTNNB1 (M),AMER1 (M),PTEN (M)
FAT1 (M),-2.52,-0.44,0.3,-0.0,1.62
APC (M),-3.34,1.21,-3.4,-0.13,-1.71
CTNNB1 (M),0.0,-1.53,-1.49,-0.21,0.23
AMER1 (M),0.85,-0.41,-1.79,-2.22,-0.12
PTEN (M),-0.92,-0.59,0.0,1.35,-2.14
